actor_id,name
205701,Kristen Bush
93934,Ron Carlson
1309285,Nikki Hsieh
77819,Michel Beaudry
1464571,Paul Lefèvre
1042685,Stephen Warren
17463,Carole Franck
1711646,Gerry Goodfellow
1007683,Jack Reynor
71156,Flemming Enevold
102578,Kevin Sifuentes
1795829,Freya Galpin
3433,Phil Leeds
1243811,Naomi Kusumi
61411,Mark Dindal
1593122,Alexandra Creteau
1649258,Joe Kras
1529491,Rachel Hroncich
1423809,Chelsea Li
1084972,Arvydas Sabonis
84214,Taylor Lautner
1660575,Hadar Busia-Singleton
1570407,Cleto Augusto
1612697,Declan Duddy
185102,Jackie Richardson
1140109,Joey Klein
1527975,Victoria L. Moya
66583,Kate Harcourt
1507735,Bernadette Penotti
139553,Anne Leighton
1044946,Josh Evans
123057,Lydia Lei
1353187,Barbara Rosenblat
53761,Christopher Gorham
93129,Chenoa Maxwell
1370749,Craig Berry
583844,Kasia Kowalczyk
10583,Gisele Bündchen
62595,Mary Pat Gleason
1228941,Craig Ricci Shaynak
1360429,Tabitha Bastien
213904,Brian Conley
70626,Tsutomu Yamazaki
1394479,Kim Gennaula
223907,Denis Burgazliev
1782456,Gene Honda
1044042,Charles Arthur Berg
1448560,Devon Conti
1656606,Fletcher Sheridan
1678186,Antonia Jones
98280,Joey Luthman
1183824,Craig Van Hook
168745,Ron Clinton Smith
1003453,Spencer Pickren
169008,Thomas Hall
213087,Warwick Young
180691,Janine Theriault
1220998,Toby Longworth
1415756,Megan Alston
1229438,Clare Foster
1400384,Andrew Lipschultz
1457292,Dominic Thigpen
114977,Margaret Bowman
1777575,Darryl Farmer
1504904,Molly Jackson
1221056,Dorothy Atkinson
1631155,Haley Craft
1482411,Nina Avetisova
131833,John Walcutt
74542,Barbara Rush
64148,Chase Ellison
1820005,Breanna Dolen
40633,Jamie Parker
160292,Deborah May
59616,Patricia Tulasne
179847,Jeff Campbell
2870,Gray Frederickson
1386457,Michael Birkeland
37014,Lauren German
1381777,Jack Willis
1396920,Roger Shank
27398,Urbano Barberini
125579,Mishu Vellani
1113443,Kenji Tanigaki
105209,Bernard Erhard
1246891,Charley Koontz
24709,Roy Holder
1110108,Bobbie Lee
1686569,Colin James Mackey
1479430,Monica Tamayo
1053305,Marc Jacobs
1232531,Steve Routman
80154,Blake Ritson
34200,Sakina Jaffrey
117568,Justin Herwick
1287012,Matt Hawkins
1318900,Joey Perillo
1383297,J.P. Luebsen
120679,Eddie McClintock
75340,Todd Bridges
127131,Dredan McFall
1741665,Richard Ashton
571730,Mark Harris
1909,Conchata Ferrell
47298,Nellie McKay
9996,Sean Whalen
928,Rebecca Ferratti
25688,Christopher Bowen
1205740,Damien Walters
199385,Renée Lippin
239604,Matthew Muzio
62124,Zachary Isaiah Williams
1786007,Molly Evensen
1230878,Wrong
1198698,Douglas Nelson
1686194,Mark Goldstein
1636795,David Gragg
1522465,Liam McGuigan
1397784,Hays Wellford
1292483,Takara Clark
80030,Brennan Delaney
9450,Neil Rayment
1315500,Alice Henley
1504146,Greg Farkas
41508,Jason Stuart
1748117,Robin Tasha-Ford
109441,Chris Massoglia
1468222,Natalya Ustinova
11754,Richard Domeier
2538,Chiaki Kuriyama
1473301,Tino García
139844,Selita Ebanks
554085,Jessey Meng
21144,Joan Pringle
962169,Jay Xcala
181831,Steve J. Spears
143336,Morgan Tanner
25415,Axel Schreiber
96706,Lynn Hamilton
1133858,Leon Dai
1686153,Mark Tilley
1436816,Nader Dernaika
1085742,Maggie Daniels
53903,Agathe de La Fontaine
1072934,Daniel Nunez
1775934,Josh Seffinger
62531,Valérie Lemercier
45297,Summer Cummings
1735974,Melissa Exelberth
1234545,Dorothy Abbott
292214,Nikki M. James
1773693,Jenna Stewart
1174794,Stephanie Venditto
1327299,Farzana Dua Elahe
43264,Meredith Henderson
224508,Luisa Huertas
126851,Zhang Xinyi
78017,Sandra Nelson
60141,Ray Wills
1344345,Vivian Fleming-Alvarez
7628,Grant Curtis
583777,Amos Oz
1390113,Duke Valenti
38159,Geraldine Smith
1233093,Jonathan Ryan
74279,Deborah Valente
54615,Christy Chung
1485541,Alexander Eldimiati
71570,Justin Chadwick
103373,Carmen Pelaez
559328,Mathew Greer
15684,Paul Schneider
3133,Patricia Vonne
3640,Larry Gates
218186,John Bett
1522360,Yvonne Angulo
118039,Holly Mackie
6195,Harold Perrineau
1374158,Ancuta Breaban
162414,Robert Llewellyn
18222,Anny Nelsen
142184,Bailee Michelle Johnson
8789,Mathieu Amalric
1069672,Caley Hayes
101045,Jennifer Siebel Newsom
1468298,Christy Williams
1143597,Michael Kay
109713,Rita Blanco
1247036,Rocsi
586101,Shawn Andrews
91475,France Zobda
1758945,Jérôme Jarre
52893,Trudi Jackson
1479962,Momoko Komatsu
1232567,Natalie Carter
81388,Steve Howey
1275400,Jamar Shipman
20959,"Louis Gossett, Jr."
1392124,Jessica Elle Taylor
1451740,Christian Manon
9983,Richard Swingler
1526113,Steve Quinn
21381,Wallace Wood
1049916,Hannah Gross
1016691,Charles McMurphy
60376,Alison Bruce
3088,Sterling Hayden
21065,Johnny Green
1858658,Elizabeth Marangoni
