movie_id,director_id,name
11451,7312,Angela Robinson
12103,5501,Gary Fleder
60304,76927,Tommy Wirkola
2251,7270,Adrian Lyne
46529,40256,D.J. Caruso
231,2945,Stephen Gaghan
300671,865,Michael Bay
228326,1265056,Jorge R. Gutierrez
9754,33315,Richard Loncraine
66,190,Clint Eastwood
4421,578,Ridley Scott
2649,7467,David Fincher
588,8296,Christophe Gans
10393,26502,Howard Deutch
71552,68843,Jon Hurwitz
9631,37932,F. Gary Gray
216282,93214,Steven Quale
306,4610,John Landis
928,4600,Joe Dante
205587,42994,David Dobkin
6623,51984,Mimi Leder
1577,17649,Alexander Witt
9801,20237,Beeban Kidron
2116,21712,Carl Franklin
9624,23880,Steven Seagal
14199,2294,Robert Rodriguez
1907,2034,Danny Boyle
4599,1201,Garry Marshall
22832,11266,James McTeigue
10390,7623,Sam Raimi
9879,41550,Andrew Bergman
38579,46076,Tom Dey
44603,190,Clint Eastwood
11892,23393,Barbet Schroeder
9691,7187,Richard Donner
1248,16785,Peter Webber
12220,3026,Rob Reiner
72710,8685,Andrew Niccol
10782,1090,John McTiernan
9573,190,Clint Eastwood
4959,1071,Tom Tykwer
10061,11770,John Carpenter
10386,7087,Brad Bird
421,5655,Wes Anderson
316152,23964,Gary Ross
11615,9168,Alan Parker
13498,18356,Stephen Herek
241554,59521,Jaume Collet-Serra
2252,224,David Cronenberg
11968,57082,John Stockwell
10047,59,Luc Besson
38319,64141,David Gordon Green
69668,53334,Jim Sheridan
